Time [s],Packet ID,MOSI,MISO
11.020910208333333,811,0x05,0xFF
11.020911208333333,811,0xAA,0xFF
11.020912208333334,811,0x81,0xFF
11.020913208333333,811,0x2A,0xFF
11.020914208333334,811,0xBD,0xFF
11.020915208333333,811,0x45,0xFF
11.020916208333333,811,0xE8,0xFF
11.020917208333334,811,0xA8,0xFF
11.020922583333334,812,0x44,0xFF
11.020923583333333,812,0xFF,0x00
11.020928333333334,813,0x44,0xFF
11.020929333333333,813,0xFF,0x00
11.020933958333334,814,0x44,0xFF
11.020934958333333,814,0xFF,0x00
11.020939583333334,815,0x44,0xFF
11.020940583333333,815,0xFF,0x00
11.020945208333334,816,0x44,0xFF
11.020946208333333,816,0xFF,0x00
11.020950833333334,817,0x44,0xFF
11.020951833333333,817,0xFF,0x00
11.020956458333334,818,0x44,0xFF
11.020957458333333,818,0xFF,0x00
11.020962083333334,819,0x44,0xFF
11.020963083333333,819,0xFF,0x00
11.020967708333334,820,0x44,0xFF
11.020968708333333,820,0xFF,0x00
11.020973333333334,821,0x44,0xFF
11.020974333333333,821,0xFF,0x00
11.020978958333334,822,0x44,0xFF
11.020979958333333,822,0xFF,0xFF
11.020985958333334,823,0xEA,0xFF
11.020986958333333,823,0xE4,0xFF
11.020987958333333,823,0xF0,0xFF
11.020988958333334,823,0x24,0xFF
11.020989958333333,823,0xC9,0xFF
11.020990958333334,823,0x9F,0xFF
11.020991958333333,823,0xCC,0xFF
11.020992958333334,823,0x3C,0xFF
11.020998208333333,824,0x44,0xFF
11.020999208333333,824,0xFF,0x00
11.021003833333333,825,0x44,0xFF
11.021004833333333,825,0xFF,0x00
11.021009458333333,826,0x44,0xFF
11.021010458333333,826,0xFF,0x00
11.021015083333333,827,0x44,0xFF
11.021016124999999,827,0xFF,0x00
11.021020875000000,828,0x44,0xFF
11.021021875000001,828,0xFF,0x00
11.021026500000000,829,0x44,0xFF
11.021027500000001,829,0xFF,0x00
11.021032125000000,830,0x44,0xFF
11.021033125000001,830,0xFF,0x00
11.021037750000000,831,0x44,0xFF
11.021038750000001,831,0xFF,0x00
11.021043499999999,832,0x44,0xFF
11.021044500000000,832,0xFF,0x00
11.021049124999999,833,0x44,0xFF
11.021050125000000,833,0xFF,0x00
11.021054875000001,834,0x44,0xFF
11.021055875000000,834,0xFF,0x00
11.021060500000001,835,0x44,0xFF
11.021061500000000,835,0xFF,0x00
11.021066125000001,836,0x44,0xFF
11.021067125000000,836,0xFF,0x00
11.021072750000000,837,0x44,0xFF
11.021073749999999,837,0xFF,0xFF
11.021079750000000,838,0x05,0xFF
11.021080749999999,838,0x08,0xFF
11.021081750000000,838,0xF5,0xFF
11.021082750000000,838,0x05,0xFF
11.021083750000001,838,0x04,0xFF
11.021084750000000,838,0x27,0xFF
11.021085749999999,838,0x62,0xFF
11.021086750000000,838,0x98,0xFF
11.021092124999999,839,0x44,0xFF
11.021093125000000,839,0xFF,0x00
11.021097749999999,840,0x44,0xFF
11.021098750000000,840,0xFF,0x00
11.021103374999999,841,0x44,0xFF
11.021104375000000,841,0xFF,0x00
11.021108999999999,842,0x44,0xFF
11.021110000000000,842,0xFF,0x00
11.021114624999999,843,0x44,0xFF
11.021115625000000,843,0xFF,0x00
11.021120375000001,844,0x44,0xFF
11.021121375000000,844,0xFF,0x00
11.021126000000001,845,0x44,0xFF
11.021127000000000,845,0xFF,0x00
11.021131625000001,846,0x44,0xFF
11.021132625000000,846,0xFF,0x00
11.021137250000001,847,0x44,0xFF
11.021138250000000,847,0xFF,0x00
11.021142875000001,848,0x44,0xFF
11.021143875000000,848,0xFF,0x00
11.021148500000001,849,0x44,0xFF
11.021149500000000,849,0xFF,0xFF
11.021155625000000,850,0xEA,0xFF
11.021156625000000,850,0x6B,0xFF
11.021157625000001,850,0x62,0xFF
11.021158625000000,850,0x84,0xFF
11.021159624999999,850,0xA1,0xFF
11.021160625000000,850,0xF9,0xFF
11.021161625000000,850,0x4A,0xFF
11.021162625000001,850,0xE2,0xFF
11.021167875000000,851,0x44,0xFF
11.021168875000001,851,0xFF,0x00
11.021173500000000,852,0x44,0xFF
11.021174500000001,852,0xFF,0x00
11.021179249999999,853,0x44,0xFF
11.021180250000000,853,0xFF,0x00
11.021184874999999,854,0x44,0xFF
11.021185875000000,854,0xFF,0x00
11.021190499999999,855,0x44,0xFF
11.021191500000000,855,0xFF,0x00
11.021196124999999,856,0x44,0xFF
11.021197125000000,856,0xFF,0x00
11.021201749999999,857,0x44,0xFF
11.021202750000000,857,0xFF,0x00
11.021207499999999,858,0x44,0xFF
11.021208500000000,858,0xFF,0x00
11.021213124999999,859,0x44,0xFF
11.021214125000000,859,0xFF,0x00
